"data";"valor"
"29/12/2016";"0,050788"
"30/12/2016";"0,050788"
"02/01/2017";"0,050788"
"03/01/2017";"0,050788"
"04/01/2017";"0,050788"
"05/01/2017";"0,050788"
"06/01/2017";"0,050788"
"09/01/2017";"0,050788"
"10/01/2017";"0,050788"
"11/01/2017";"0,050788"
"12/01/2017";"0,048159"
"13/01/2017";"0,048159"
"16/01/2017";"0,048159"
"17/01/2017";"0,048159"
"18/01/2017";"0,048159"
"19/01/2017";"0,048159"
"20/01/2017";"0,048159"
"23/01/2017";"0,048159"
"24/01/2017";"0,048159"
"25/01/2017";"0,048159"
"26/01/2017";"0,048159"
"27/01/2017";"0,048159"
"30/01/2017";"0,048159"
"31/01/2017";"0,048159"
"01/02/2017";"0,048159"
"02/02/2017";"0,048159"
"03/02/2017";"0,048159"
"06/02/2017";"0,048159"
"07/02/2017";"0,048159"
"08/02/2017";"0,048159"
"09/02/2017";"0,048159"
"10/02/2017";"0,048159"
"13/02/2017";"0,048159"
"14/02/2017";"0,048159"
"15/02/2017";"0,048159"
"16/02/2017";"0,048159"
"17/02/2017";"0,048159"
"20/02/2017";"0,048159"
"21/02/2017";"0,048159"
"22/02/2017";"0,048159"
"23/02/2017";"0,045513"
"24/02/2017";"0,045513"
"01/03/2017";"0,045513"
"02/03/2017";"0,045513"
"03/03/2017";"0,045513"
"06/03/2017";"0,045513"
"07/03/2017";"0,045513"
"08/03/2017";"0,045513"
"09/03/2017";"0,045513"
"10/03/2017";"0,045513"
"13/03/2017";"0,045513"
"14/03/2017";"0,045513"
"15/03/2017";"0,045513"
"16/03/2017";"0,045513"
"17/03/2017";"0,045513"
"20/03/2017";"0,045513"
"21/03/2017";"0,045513"
"22/03/2017";"0,045513"
"23/03/2017";"0,045513"
"24/03/2017";"0,045513"
"27/03/2017";"0,045513"
"28/03/2017";"0,045513"
"29/03/2017";"0,045513"
"30/03/2017";"0,045513"
"31/03/2017";"0,045513"
"03/04/2017";"0,045513"
"04/04/2017";"0,045513"
"05/04/2017";"0,045513"
"06/04/2017";"0,045513"
"07/04/2017";"0,045513"
"10/04/2017";"0,045513"
"11/04/2017";"0,045513"
"12/04/2017";"0,045513"
"13/04/2017";"0,041957"
"17/04/2017";"0,041957"
"18/04/2017";"0,041957"
"19/04/2017";"0,041957"
"20/04/2017";"0,041957"
"24/04/2017";"0,041957"
"25/04/2017";"0,041957"
"26/04/2017";"0,041957"
"27/04/2017";"0,041957"
"28/04/2017";"0,041957"
"02/05/2017";"0,041957"
"03/05/2017";"0,041957"
"04/05/2017";"0,041957"
"05/05/2017";"0,041957"
"08/05/2017";"0,041957"
"09/05/2017";"0,041957"
"10/05/2017";"0,041957"
"11/05/2017";"0,041957"
"12/05/2017";"0,041957"
"15/05/2017";"0,041957"
"16/05/2017";"0,041957"
"17/05/2017";"0,041957"
"18/05/2017";"0,041957"
"19/05/2017";"0,041957"
"22/05/2017";"0,041957"
"23/05/2017";"0,041957"
"24/05/2017";"0,041957"
"25/05/2017";"0,041957"
"26/05/2017";"0,041957"
"29/05/2017";"0,041957"
"30/05/2017";"0,041957"
"31/05/2017";"0,041957"
